transaction_id,date,product_id,store_id,customer_segment_id,channel_id,units_sold,unit_price,gross_sales,discount_amount,net_sales,promotion_id,discount_percentage,inventory_available,stockout_flag,return_units,return_amount,true_demand_estimate
T000000031,2021-01-01,P001,S06,Loyal Regular,Online,48,12765.12,600000.0,0.0,600000.0,,0.0,370.9,False,3,38295.36,48
T000000032,2021-01-01,P002,S06,Loyal Regular,Physical Store,68,179.51,12240.0,33.32,12206.68,,0.0,899.4,False,0,0.0,68
T000000033,2021-01-01,P003,S06,Premium Buyer,Physical Store,46,1801.3,82800.0,0.0,82800.0,,0.0,462.0,False,7,12609.1,46
T000000034,2021-01-01,P004,S06,Loyal Regular,Physical Store,13,38464.19,494000.0,0.0,494000.0,,0.0,116.1,False,1,38464.19,13
T000000035,2021-01-01,P005,S06,Value Seeker,Physical Store,42,6525.43,273000.0,0.0,273000.0,,0.0,437.1,False,1,6525.43,42
T000000036,2021-01-01,P006,S06,Premium Buyer,Physical Store,90,653.64,58500.0,0.0,58500.0,,0.0,1031.9,False,2,1307.28,90
T000000037,2021-01-01,P001,S07,Value Seeker,Marketplace,39,12790.45,487500.0,0.0,487500.0,,0.0,371.1,False,2,25580.9,39
T000000038,2021-01-01,P002,S07,,Physical Store,65,181.7,11700.0,0.0,11700.0,,0.0,1315.7,False,1,181.7,65
T000000039,2021-01-01,P003,S07,Loyal Regular,Online,37,1785.8,66600.0,525.4,66074.6,,0.0,464.0,False,8,14286.4,37
T000000040,2021-01-01,P004,S07,Occasional Shopper,Online,11,38268.51,418000.0,0.0,418000.0,,,100.5,False,0,0.0,11
T000000041,2021-01-01,P005,S07,Budget Shopper,Mobile App,35,6462.63,227500.0,1307.95,226192.05,,,323.0,False,3,19387.89,35
T000000042,2021-01-01,P006,S07,Value Seeker,Marketplace,36,647.87,23400.0,76.68,23323.32,,0.0,852.3,False,1,647.87,36
T000000043,2021-01-01,P001,S08,Value Seeker,Online,35,12636.96,437500.0,0.0,437500.0,,,465.6,False,1,12636.96,35
T000000044,2021-01-01,P002,S08,Loyal Regular,Online,46,180.16,8280.0,0.0,8280.0,,0.0,1071.5,False,0,0.0,46
T000000045,2021-01-01,P003,S08,Budget Shopper,Marketplace,39,1795.06,70200.0,192.66,70007.34,,0.0,350.3,False,4,7180.24,39
T000000046,2021-01-01,P004,S08,Premium Buyer,Online,9,37791.62,342000.0,1875.42,340124.58,,0.0,157.5,False,0,0.0,9
T000000047,2021-01-01,P005,S08,Premium Buyer,Physical Store,17,6510.61,110500.0,0.0,110500.0,,0.0,345.3,False,2,13021.22,17
T000000048,2021-01-01,P006,S08,Loyal Regular,Physical Store,52,648.35,33800.0,85.8,33714.2,,0.0,1147.4,False,0,0.0,52
T000000049,2021-01-02,P001,S01,Loyal Regular,Physical Store,29,12204.34,362500.0,8574.14,353925.86,,0.0,105.0,False,1,12204.34,29
T000000050,2021-01-02,P002,S01,Occasional Shopper,Marketplace,112,182.14,20160.0,0.0,20160.0,,0.0,1256.8,False,0,0.0,112
T000000051,2021-01-02,P003,S01,Value Seeker,Physical Store,63,1633.24,113400.0,10505.88,102894.12,End of Season Sale - Winter,10.52,255.8,False,9,14699.16,63
T000000052,2021-01-02,P004,S01,Loyal Regular,Mobile App,17,38304.53,646000.0,0.0,646000.0,,0.0,241.0,False,0,0.0,17
T000000053,2021-01-02,P005,S01,Occasional Shopper,Mobile App,254,5167.67,1651000.0,338411.82,1312588.18,End of Season Sale - Winter,21.26,973.4,False,6,31006.02,254
T000000054,2021-01-02,P006,S01,Value Seeker,Online,194,647.86,126100.0,415.16,125684.84,,0.0,791.0,False,4,2591.44,194
T000000055,2021-01-02,P001,S02,Value Seeker,Physical Store,27,12176.11,337500.0,8745.03,328754.97,,0.0,247.0,False,1,12176.11,27
T000000056,2021-01-02,P003,S02,Loyal Regular,Online,145,1454.38,261000.0,50114.9,210885.1,End of Season Sale - Winter,20.25,679.3,False,21,30541.98,145
T000000057,2021-01-02,P004,S02,Value Seeker,Online,18,37855.47,684000.0,2601.54,681398.46,,0.0,159.7,False,1,37855.47,18
T000000058,2021-01-02,P005,S02,Occasional Shopper,Online,81,5328.12,526500.0,94922.28,431577.72,End of Season Sale - Winter,17.69,367.2,False,3,15984.36,81
T000000059,2021-01-02,P006,S02,Budget Shopper,Online,68,654.52,44200.0,0.0,44200.0,,0.0,864.9,False,1,654.52,68
T000000060,2021-01-02,P001,S03,Loyal Regular,Mobile App,35,12442.63,437500.0,2007.95,435492.05,,0.0,260.8,False,4,49770.52,35
T000000061,2021-01-02,P002,S03,Occasional Shopper,Marketplace,78,179.38,14040.0,48.36,13991.64,,0.0,1771.6,False,0,0.0,78
T000000062,2021-01-02,P003,S03,Budget Shopper,Online,30,1580.62,54000.0,6581.4,47418.6,End of Season Sale - Winter,11.54,234.0,False,3,4741.86,30
T000000063,2021-01-02,P004,S03,Premium Buyer,Mobile App,9,37911.4,342000.0,797.4,341202.6,,,120.7,False,0,0.0,9
T000000064,2021-01-02,P005,S03,Value Seeker,Online,55,6528.23,357500.0,0.0,357500.0,,0.0,449.7,False,0,0.0,55
T000000065,2021-01-02,P006,S03,Budget Shopper,Physical Store,73,660.07,47450.0,0.0,47450.0,,0.0,1167.4,False,1,660.07,73
T000000066,2021-01-02,P001,S04,Budget Shopper,Marketplace,21,12686.36,262500.0,0.0,262500.0,,0.0,287.9,False,1,12686.36,21
T000000067,2021-01-02,P002,S04,Budget Shopper,Marketplace,85,179.17,15300.0,70.55,15229.45,,0.0,823.8,False,0,0.0,85
T000000068,2021-01-02,P003,S04,Occasional Shopper,Marketplace,70,1578.5,126000.0,15505.0,110495.0,End of Season Sale - Winter,12.14,263.6,False,15,23677.5,70
T000000069,2021-01-02,P004,S04,Budget Shopper,Physical Store,9,38247.54,342000.0,0.0,342000.0,,0.0,113.0,False,0,0.0,9
T000000070,2021-01-02,P005,S04,Occasional Shopper,Physical Store,90,5464.9,585000.0,93159.0,491841.0,End of Season Sale - Winter,15.56,300.1,False,2,10929.8,90
T000000071,2021-01-02,P006,S04,Premium Buyer,Online,244,635.59,158600.0,3516.04,155083.96,,0.0,1149.2,False,3,1906.77,244
T000000072,2021-01-02,P001,S05,Loyal Regular,Online,22,12729.51,275000.0,0.0,275000.0,,0.0,283.0,False,2,25459.02,22
T000000073,2021-01-02,P002,S05,Premium Buyer,Online,49,178.23,8820.0,86.73,8733.27,,0.0,1417.4,False,1,178.23,49
T000000074,2021-01-02,P003,S05,Loyal Regular,Online,76,1802.73,136800.0,0.0,136800.0,,0.0,305.4,False,7,12619.11,76
T000000075,2021-01-02,P004,S05,Premium Buyer,Mobile App,29,37961.36,1102000.0,1120.56,1100879.44,,0.0,109.8,False,0,0.0,29
T000000076,2021-01-02,P005,S05,Budget Shopper,Online,56,5842.17,364000.0,36838.48,327161.52,End of Season Sale - Winter,10.25,309.9,False,1,5842.17,56
T000000077,2021-01-02,P006,S05,Occasional Shopper,Physical Store,65,647.27,42250.0,177.45,42072.55,,0.0,1414.2,False,1,647.27,65
T000000078,2021-01-02,P001,S06,Loyal Regular,Physical Store,55,12520.28,687500.0,0.0,687500.0,,0.0,322.9,False,1,12520.28,55
T000000079,2021-01-02,P002,S06,Value Seeker,Physical Store,61,176.85,10980.0,192.15,10787.85,,0.0,831.4,False,1,176.85,61
T000000080,2021-01-02,P003,S06,Value Seeker,Physical Store,79,1613.44,142200.0,14738.24,127461.76,End of Season Sale - Winter,10.51,416.0,False,6,9680.64,79
T000000081,2021-01-02,P004,S06,Value Seeker,Online,13,37741.83,494000.0,3356.21,490643.79,,0.0,227.1,False,0,0.0,13
T000000082,2021-01-02,P005,S06,Occasional Shopper,Online,23,5610.27,149500.0,20463.79,129036.21,End of Season Sale - Winter,,395.1,False,1,5610.27,23
T000000083,2021-01-02,P006,S06,Value Seeker,Physical Store,72,654.8,46800.0,0.0,46800.0,,0.0,941.9,False,4,2619.2,72
T000000084,2021-01-02,P001,S07,Loyal Regular,Physical Store,23,12499.16,287500.0,19.32,287480.68,,0.0,,False,0,0.0,23
T000000085,2021-01-02,P002,S07,Budget Shopper,Physical Store,118,181.61,21240.0,0.0,21240.0,,0.0,2421.2,False,4,726.44,118
T000000086,2021-01-02,P003,S07,Value Seeker,Online,84,1489.06,151200.0,26118.96,125081.04,End of Season Sale - Winter,17.01,766.7,False,13,19357.78,84
T000000087,2021-01-02,P004,S07,Loyal Regular,Marketplace,6,38818.21,228000.0,0.0,228000.0,,0.0,89.5,False,0,0.0,6
T000000088,2021-01-02,P005,S07,Premium Buyer,Marketplace,31,5729.78,201500.0,23876.82,177623.18,End of Season Sale - Winter,11.36,489.9,False,2,11459.56,31
T000000089,2021-01-02,P006,S07,,Physical Store,44,646.16,28600.0,168.96,28431.04,,0.0,816.3,False,2,1292.32,44
T000000090,2021-01-02,P001,S08,,Mobile App,29,12453.17,362500.0,1358.07,361141.93,,,430.6,False,1,12453.17,29
T000000091,2021-01-02,P002,S08,Budget Shopper,Online,44,180.84,7920.0,0.0,7920.0,,0.0,2177.7,False,0,0.0,44
T000000092,2021-01-02,P003,S08,Premium Buyer,Physical Store,116,1484.42,208800.0,36607.28,172192.72,End of Season Sale - Winter,17.0,680.4,False,17,25235.14,116
T000000093,2021-01-02,P004,S08,,Physical Store,13,38300.26,494000.0,0.0,494000.0,,0.0,148.5,False,1,38300.26,13
T000000094,2021-01-02,P005,S08,Occasional Shopper,Physical Store,24,5777.63,156000.0,17336.88,138663.12,End of Season Sale - Winter,10.85,328.3,False,0,0.0,24
T000000095,2021-01-02,P006,S08,Budget Shopper,Online,43,651.52,27950.0,0.0,27950.0,,0.0,,False,3,1954.56,43
T000000096,2021-01-03,P001,S01,Loyal Regular,Physical Store,75,12549.74,937500.0,0.0,937500.0,,0.0,76.0,True,5,62748.7,89
T000000097,2021-01-03,P002,S01,Value Seeker,Physical Store,57,179.77,10260.0,13.11,10246.89,,0.0,1144.8,False,0,0.0,57
T000000098,2021-01-03,P003,S01,Budget Shopper,Physical Store,141,1468.77,253800.0,46703.43,207096.57,End of Season Sale - Winter,18.48,192.8,False,9,13218.93,141
T000000099,2021-01-03,P004,S01,Loyal Regular,Marketplace,21,38151.56,798000.0,0.0,798000.0,,0.0,224.0,False,2,76303.12,21
T000000100,2021-01-03,P005,S01,Loyal Regular,Online,53,5428.35,344500.0,56797.45,287702.55,End of Season Sale - Winter,16.47,1095.6,False,1,5428.35,53
T000000101,2021-01-03,P001,S02,Value Seeker,Online,87,12392.03,1087500.0,9393.39,1078106.61,,0.0,220.0,False,1,12392.03,87
T000000102,2021-01-03,P002,S02,Budget Shopper,Online,186,182.2,33480.0,0.0,33480.0,,0.0,1420.2,False,2,364.4,186
T000000103,2021-01-03,P003,S02,Budget Shopper,Marketplace,162,1536.91,291600.0,42620.58,248979.42,End of Season Sale - Winter,15.66,779.5,False,15,23053.65,162
T000000104,2021-01-03,P004,S02,,Physical Store,24,38038.11,912000.0,0.0,912000.0,,0.0,141.7,False,1,38038.11,24
T000000105,2021-01-03,P005,S02,Loyal Regular,Physical Store,76,4912.89,494000.0,120620.36,373379.64,End of Season Sale - Winter,24.43,624.0,False,1,4912.89,76
T000000106,2021-01-03,P006,S02,Premium Buyer,Mobile App,186,649.29,120900.0,132.06,120767.94,,0.0,1861.1,False,4,2597.16,186
T000000107,2021-01-03,P001,S03,Budget Shopper,Mobile App,30,12488.42,375000.0,347.4,374652.6,,0.0,225.8,False,2,24976.84,30
T000000108,2021-01-03,P002,S03,Value Seeker,Mobile App,118,176.15,21240.0,454.3,20785.7,,0.0,2508.3,False,0,0.0,118
T000000109,2021-01-03,P003,S03,Loyal Regular,Physical Store,83,1438.39,149400.0,30013.63,119386.37,End of Season Sale - Winter,19.74,392.4,False,6,8630.34,83
T000000110,2021-01-03,P004,S03,Premium Buyer,Mobile App,4,38464.9,152000.0,0.0,152000.0,,0.0,111.7,False,0,0.0,4
T000000111,2021-01-03,P005,S03,Premium Buyer,Online,23,6518.67,149500.0,0.0,149500.0,,0.0,394.7,False,1,6518.67,23
T000000112,2021-01-03,P006,S03,Loyal Regular,Mobile App,143,657.33,92950.0,0.0,92950.0,,0.0,1886.4,False,1,657.33,143
T000000113,2021-01-03,P001,S04,Value Seeker,Physical Store,42,12451.04,525000.0,2056.32,522943.68,,0.0,608.0,False,3,37353.12,42
T000000114,2021-01-03,P002,S04,Occasional Shopper,Physical Store,68,176.73,12240.0,222.36,12017.64,,0.0,1381.2,False,2,353.46,68
T000000115,2021-01-03,P003,S04,Value Seeker,Physical Store,41,1518.26,73800.0,11551.34,62248.66,End of Season Sale - Winter,16.12,401.7,False,7,10627.82,41
T000000116,2021-01-03,P004,S04,Budget Shopper,Marketplace,8,38470.75,304000.0,0.0,304000.0,,0.0,104.0,False,0,0.0,8
T000000117,2021-01-03,P005,S04,Budget Shopper,Physical Store,38,5427.14,247000.0,40768.68,206231.32,End of Season Sale - Winter,16.98,210.1,False,0,0.0,38
T000000118,2021-01-03,P006,S04,Budget Shopper,Online,70,635.27,45500.0,1031.1,44468.9,,0.0,2058.2,False,4,2541.08,70
T000000119,2021-01-03,P001,S05,Occasional Shopper,Marketplace,12,12461.32,150000.0,464.16,149535.84,,0.0,261.0,False,0,0.0,12
T000000120,2021-01-03,P002,S05,Premium Buyer,Online,50,181.23,9000.0,0.0,9000.0,,0.0,1368.4,False,0,0.0,50
T000000121,2021-01-03,P004,S05,Occasional Shopper,Physical Store,14,37846.99,532000.0,2142.14,529857.86,,0.0,80.8,False,0,0.0,14
T000000122,2021-01-03,P005,S05,Occasional Shopper,Online,28,4975.54,182000.0,42684.88,139315.12,End of Season Sale - Winter,22.8,253.9,False,0,0.0,28
T000000123,2021-01-03,P006,S05,Value Seeker,Online,116,659.1,75400.0,0.0,75400.0,,0.0,1349.2,False,2,1318.2,116
T000000124,2021-01-03,P001,S06,Loyal Regular,Online,37,12342.38,462500.0,5831.94,456668.06,,0.0,267.9,False,1,12342.38,37
T000000125,2021-01-03,P002,S06,Premium Buyer,Physical Store,39,180.71,7020.0,0.0,7020.0,,0.0,770.4,False,0,0.0,39
T000000126,2021-01-03,P003,S06,Loyal Regular,Marketplace,39,1331.11,70200.0,18286.71,51913.29,End of Season Sale - Winter,24.41,337.0,False,8,10648.88,39
T000000127,2021-01-03,P004,S06,Value Seeker,Physical Store,8,37859.71,304000.0,1122.32,302877.68,,0.0,214.1,False,0,0.0,8
T000000128,2021-01-03,P005,S06,Loyal Regular,Marketplace,51,5839.12,331500.0,33704.88,297795.12,End of Season Sale - Winter,11.36,372.1,False,1,5839.12,51
T000000129,2021-01-03,P006,S06,Value Seeker,Mobile App,50,640.27,32500.0,486.5,32013.5,,0.0,869.9,False,2,1280.54,50
T000000130,2021-01-03,P001,S07,Budget Shopper,Physical Store,15,12640.25,187500.0,0.0,187500.0,,0.0,581.2,False,1,12640.25,15
T000000131,2021-01-03,P002,S07,Occasional Shopper,Physical Store,152,181.62,27360.0,0.0,27360.0,,0.0,2303.2,False,1,181.62,152
T000000132,2021-01-03,P003,S07,Loyal Regular,Online,95,1442.33,171000.0,33978.65,137021.35,End of Season Sale - Winter,20.24,682.7,False,17,24519.61,95
T000000133,2021-01-03,P004,S07,Value Seeker,Mobile App,10,38470.6,380000.0,0.0,380000.0,,0.0,83.5,False,0,0.0,10
T000000134,2021-01-03,P005,S07,Budget Shopper,Physical Store,16,5829.94,104000.0,10720.96,93279.04,End of Season Sale - Winter,,781.6,False,2,11659.88,16
T000000135,2021-01-03,P006,S07,Loyal Regular,Physical Store,64,652.7,41600.0,0.0,41600.0,,0.0,1354.9,False,0,0.0,64
T000000136,2021-01-03,P001,S08,Premium Buyer,Physical Store,11,12357.06,137500.0,1572.34,135927.66,,0.0,,False,1,12357.06,11
T000000137,2021-01-03,P002,S08,Value Seeker,Mobile App,138,178.8,24840.0,165.6,24674.4,,0.0,3046.7,False,1,178.8,138
T000000138,2021-01-03,P003,S08,Occasional Shopper,Physical Store,46,1516.48,82800.0,13041.92,69758.08,End of Season Sale - Winter,16.13,,False,8,12131.84,46
T000000139,2021-01-03,P004,S08,Value Seeker,Physical Store,7,37399.76,266000.0,4201.68,261798.32,,0.0,135.5,False,0,0.0,7
T000000140,2021-01-03,P005,S08,Budget Shopper,Physical Store,47,5402.17,305500.0,51598.01,253901.99,End of Season Sale - Winter,17.23,304.3,False,0,0.0,47
T000000141,2021-01-03,P006,S08,Loyal Regular,Online,79,658.78,51350.0,0.0,51350.0,,0.0,3133.7,False,0,0.0,79
T000000142,2021-01-04,P001,S01,Premium Buyer,Physical Store,0,12564.27,0.0,0.0,0.0,,0.0,1.0,True,0,0.0,90
T000000143,2021-01-04,P002,S01,Value Seeker,Mobile App,109,182.2,19620.0,0.0,19620.0,,0.0,1841.5,False,1,182.2,109
T000000144,2021-01-04,P003,S01,Budget Shopper,Physical Store,51,1612.27,91800.0,9574.23,82225.77,End of Season Sale - Winter,10.03,51.8,True,9,14510.43,52
T000000145,2021-01-04,P004,S01,Value Seeker,Mobile App,35,38239.43,1330000.0,0.0,1330000.0,,0.0,203.0,False,0,0.0,35
T000000146,2021-01-04,P005,S01,Budget Shopper,Physical Store,47,5384.11,305500.0,52446.83,253053.17,End of Season Sale - Winter,15.87,1042.6,False,3,16152.33,47
T000000147,2021-01-04,P006,S01,,Online,123,643.14,79950.0,843.78,79106.22,,0.0,1508.6,False,4,2572.56,123
T000000148,2021-01-04,P001,S02,Premium Buyer,Online,7,12623.79,87500.0,0.0,87500.0,,0.0,133.0,False,0,0.0,7
T000000149,2021-01-04,P002,S02,Loyal Regular,Physical Store,155,179.91,27900.0,13.95,27886.05,,0.0,2063.8,False,2,359.82,155
T000000150,2021-01-04,P003,S02,Value Seeker,Online,109,1512.64,196200.0,31322.24,164877.76,End of Season Sale - Winter,14.71,617.5,False,18,27227.52,109
T000000151,2021-01-04,P004,S02,Budget Shopper,Online,26,38326.83,988000.0,0.0,988000.0,,,117.7,False,1,38326.83,26
T000000152,2021-01-04,P005,S02,Value Seeker,Physical Store,65,5127.14,422500.0,89235.9,333264.1,End of Season Sale - Winter,20.06,548.0,False,1,5127.14,65
T000000153,2021-01-04,P006,S02,Value Seeker,Physical Store,195,661.92,126750.0,0.0,126750.0,,0.0,2716.2,False,10,6619.2,195
T000000154,2021-01-04,P001,S03,Occasional Shopper,Physical Store,39,12385.31,487500.0,4472.91,483027.09,,0.0,195.8,False,2,24770.62,39
T000000155,2021-01-04,P002,S03,,Online,97,181.7,17460.0,0.0,17460.0,,0.0,2390.3,False,0,0.0,97
T000000156,2021-01-04,P003,S03,Value Seeker,Physical Store,30,1399.09,54000.0,12027.3,41972.7,End of Season Sale - Winter,22.09,309.4,False,3,4197.27,30
T000000157,2021-01-04,P004,S03,Value Seeker,Online,15,37337.02,570000.0,9944.7,560055.3,,0.0,193.2,False,0,0.0,15
T000000158,2021-01-04,P005,S03,Budget Shopper,Online,20,6499.18,130000.0,16.4,129983.6,,0.0,371.7,False,0,0.0,20
T000000159,2021-01-04,P006,S03,Budget Shopper,Physical Store,106,647.28,68900.0,288.32,68611.68,,0.0,1743.4,False,0,0.0,106
T000000160,2021-01-04,P001,S04,Premium Buyer,Mobile App,39,12471.07,487500.0,1128.27,486371.73,,0.0,566.0,False,2,24942.14,39
T000000161,2021-01-04,P002,S04,Occasional Shopper,Mobile App,115,183.18,20700.0,0.0,20700.0,,0.0,1313.2,False,0,0.0,115
T000000162,2021-01-04,P003,S04,Value Seeker,Physical Store,21,1601.12,37800.0,4176.48,33623.52,End of Season Sale - Winter,11.41,360.7,False,0,0.0,21
T000000163,2021-01-04,P004,S04,Value Seeker,Physical Store,6,38325.85,228000.0,0.0,228000.0,,0.0,96.0,False,0,0.0,6
T000000164,2021-01-04,P005,S04,Premium Buyer,Mobile App,50,4984.65,325000.0,75767.5,249232.5,End of Season Sale - Winter,22.66,494.2,False,5,24923.25,50
T000000165,2021-01-04,P006,S04,Value Seeker,Physical Store,97,652.39,63050.0,0.0,63050.0,,0.0,3238.4,False,6,3914.34,97
T000000166,2021-01-04,P001,S05,,Mobile App,17,12489.18,212500.0,183.94,212316.06,,0.0,249.0,False,0,0.0,17
T000000167,2021-01-04,P002,S05,Occasional Shopper,Physical Store,27,181.91,4860.0,0.0,4860.0,,0.0,1318.4,False,0,0.0,27
T000000168,2021-01-04,P003,S05,Value Seeker,Physical Store,34,1824.96,61200.0,0.0,61200.0,,0.0,651.1,False,0,0.0,34
T000000169,2021-01-04,P004,S05,Value Seeker,Online,6,38271.28,228000.0,0.0,228000.0,,0.0,66.8,False,0,0.0,6
T000000170,2021-01-04,P005,S05,Loyal Regular,Mobile App,60,4903.8,390000.0,95772.0,294228.0,End of Season Sale - Winter,23.03,225.9,False,3,14711.4,60
T000000171,2021-01-04,P006,S05,Value Seeker,Mobile App,89,643.78,57850.0,553.58,57296.42,,0.0,2050.9,False,3,1931.34,89
T000000172,2021-01-04,P001,S06,Value Seeker,Physical Store,25,12211.93,312500.0,7201.75,305298.25,,0.0,515.9,False,2,24423.86,25
T000000173,2021-01-04,P002,S06,Budget Shopper,Physical Store,49,178.63,8820.0,67.13,8752.87,,0.0,1490.3,False,0,0.0,49
T000000174,2021-01-04,P003,S06,Premium Buyer,Physical Store,50,1444.8,90000.0,17760.0,72240.0,End of Season Sale - Winter,18.9,298.0,False,4,5779.2,50
T000000175,2021-01-04,P004,S06,Loyal Regular,Online,6,38035.44,228000.0,0.0,228000.0,,0.0,206.1,False,0,0.0,6
T000000176,2021-01-04,P005,S06,Loyal Regular,Physical Store,21,5776.68,136500.0,15189.72,121310.28,End of Season Sale - Winter,11.28,321.1,False,3,17330.04,21
T000000177,2021-01-04,P006,S06,Occasional Shopper,Online,91,650.01,59150.0,0.0,59150.0,,0.0,819.9,False,1,650.01,91
T000000178,2021-01-04,P001,S07,Loyal Regular,Physical Store,19,11970.31,237500.0,10064.11,227435.89,Flash Discount,5.43,773.7,False,2,23940.62,19
T000000179,2021-01-04,P002,S07,Budget Shopper,Marketplace,42,179.01,7560.0,41.58,7518.42,,0.0,2151.2,False,0,0.0,42
T000000180,2021-01-04,P003,S07,Value Seeker,Physical Store,58,1458.0,104400.0,19836.0,84564.0,End of Season Sale - Winter,19.74,1031.4,False,7,10206.0,58
T000000181,2021-01-04,P004,S07,Value Seeker,Marketplace,9,38193.53,342000.0,0.0,342000.0,,0.0,73.5,False,3,114580.59,9
T000000182,2021-01-04,P005,S07,Value Seeker,Physical Store,33,5347.66,214500.0,38027.22,176472.78,End of Season Sale - Winter,18.31,1080.3,False,0,0.0,33
T000000183,2021-01-04,P006,S07,Budget Shopper,Mobile App,42,665.88,27300.0,0.0,27300.0,,0.0,1932.4,False,1,665.88,42
T000000184,2021-01-04,P001,S08,Loyal Regular,Marketplace,23,12642.73,287500.0,0.0,287500.0,,0.0,1233.1,False,1,12642.73,23
T000000185,2021-01-04,P002,S08,Value Seeker,Online,14,184.22,2520.0,0.0,2520.0,,0.0,2908.7,False,0,0.0,14
T000000186,2021-01-04,P003,S08,Premium Buyer,Online,41,1590.9,73800.0,8573.1,65226.9,End of Season Sale - Winter,10.87,868.5,False,2,3181.8,41
